date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:50:57	418764/418764	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Feb%202023%2015:04:41%20GMT	https://www.classcentral.com/report/free-certificates/	C:/testt/www.classcentral.com/report/free-certificates/index.html	(from https://www.classcentral.com/)
18:50:57	819815/819815	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Feb%202023%2015:50:58%20GMT	https://www.classcentral.com/starting-this-month	C:/testt/www.classcentral.com/starting-this-month.html	(from https://www.classcentral.com/)
18:50:57	378/378	---MC-	302	error ('Found')	text/html	date:Tue,%2021%20Feb%202023%2015:50:59%20GMT	https://www.classcentral.com/new-online-courses	C:/testt/www.classcentral.com/new-online-courses	(from https://www.classcentral.com/)
18:50:58	498/498	---MC-	302	error ('Found')	text/html	date:Tue,%2021%20Feb%202023%2015:51:00%20GMT	https://www.classcentral.com/most-popular-courses	C:/testt/www.classcentral.com/most-popular-courses	(from https://www.classcentral.com/)
18:50:59	765238/765238	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Feb%202023%2015:51:00%20GMT	https://www.classcentral.com/new-online-courses/february-2023	C:/testt/www.classcentral.com/new-online-courses/february-2023.html	(from https://www.classcentral.com/)
18:50:59	141033/141033	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Feb%202023%2015:09:31%20GMT	https://www.classcentral.com/report/most-popular-february-2023/	C:/testt/www.classcentral.com/report/most-popular-february-2023/index.html	(from https://www.classcentral.com/)
18:51:00	845322/845322	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Feb%202023%2015:51:01%20GMT	https://www.classcentral.com/subject/ai	C:/testt/www.classcentral.com/subject/ai.html	(from https://www.classcentral.com/)
18:51:01	827598/827598	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Feb%202023%2015:51:02%20GMT	https://www.classcentral.com/subject/algorithms-and-data-structures	C:/testt/www.classcentral.com/subject/algorithms-and-data-structures.html	(from https://www.classcentral.com/)
18:51:01	7869/7869	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Tue,%2021%20Feb%202023%2015:51:03%20GMT	https://www.classcentral.com/subject/information-technology	C:/testt/www.classcentral.com/subject/information-technology	(from https://www.classcentral.com/)
18:51:01	7835/7835	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Tue,%2021%20Feb%202023%2015:51:03%20GMT	https://www.classcentral.com/subject/computer-networking	C:/testt/www.classcentral.com/subject/computer-networking	(from https://www.classcentral.com/)
18:51:02	769395/769395	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Feb%202023%2015:51:03%20GMT	https://www.classcentral.com/subject/internet-of-things	C:/testt/www.classcentral.com/subject/internet-of-things.html	(from https://www.classcentral.com/)
18:51:02	7822/7822	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Tue,%2021%20Feb%202023%2015:51:03%20GMT	https://www.classcentral.com/subject/machine-learning	C:/testt/www.classcentral.com/subject/machine-learning	(from https://www.classcentral.com/)
18:51:02	7951/7951	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Tue,%2021%20Feb%202023%2015:51:04%20GMT	https://www.classcentral.com/subject/devops	C:/testt/www.classcentral.com/subject/devops.4e.delayed	(from https://www.classcentral.com/)
18:51:02	7980/7980	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Tue,%2021%20Feb%202023%2015:51:04%20GMT	https://www.classcentral.com/subject/deep-learning	C:/testt/www.classcentral.com/subject/deep-learning.4f.delayed	(from https://www.classcentral.com/)
18:51:03	7998/7998	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Tue,%2021%20Feb%202023%2015:51:04%20GMT	https://www.classcentral.com/subject/cryptography	C:/testt/www.classcentral.com/subject/cryptography.50.delayed	(from https://www.classcentral.com/)
18:51:03	8017/8017	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Tue,%2021%20Feb%202023%2015:51:05%20GMT	https://www.classcentral.com/subject/quantum-computing	C:/testt/www.classcentral.com/subject/quantum-computing.51.delayed	(from https://www.classcentral.com/)
18:51:03	7938/7938	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Tue,%2021%20Feb%202023%2015:51:05%20GMT	https://www.classcentral.com/subject/hci	C:/testt/www.classcentral.com/subject/hci.52.delayed	(from https://www.classcentral.com/)
18:51:04	8006/8006	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Tue,%2021%20Feb%202023%2015:51:05%20GMT	https://www.classcentral.com/subject/distributed-systems	C:/testt/www.classcentral.com/subject/distributed-systems.53.delayed	(from https://www.classcentral.com/)
18:51:04	7965/7965	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Tue,%2021%20Feb%202023%2015:51:06%20GMT	https://www.classcentral.com/subject/blockchain	C:/testt/www.classcentral.com/subject/blockchain.54.delayed	(from https://www.classcentral.com/)
